CORE_ID,TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,L2_CACHE_ACCESS,LABEL
1,19:25:16:407,120001170,47330810,3786014,207,13117346,2
3,19:25:16:438,120000818,29265664,42075,53301,57659,3
1,19:25:16:607,120001157,47271579,3779432,209,13116149,2
3,19:25:16:638,120001098,29197186,41935,52358,57065,3
1,19:25:16:807,120001289,47333643,3786128,203,13140312,2
3,19:25:16:838,120000732,29200778,41936,50113,56642,3
1,19:25:17:007,120001103,47292117,3781723,209,13116789,2
3,19:25:17:038,120000876,29196182,41934,50312,55800,3
1,19:25:17:207,120000813,47399839,3789478,207,13146510,2
3,19:25:17:238,120000807,29182911,41898,53383,56591,3
1,19:25:17:407,120000552,47398356,3786298,209,13148112,2
3,19:25:17:438,120000853,29183389,41918,55372,55908,3
1,19:25:17:607,120000785,47548516,3795758,212,13152716,2
3,19:25:17:638,120000944,29221627,41952,54955,58486,3
1,19:25:17:807,120000630,47269435,3778277,216,13128001,2
3,19:25:17:838,120001363,29232954,41977,52275,57428,3
1,19:25:18:007,120001318,47465043,3795707,195,13161745,2
3,19:25:18:038,116991390,28492160,41366,52824,57518,3
1,19:25:18:207,120001373,47270978,3779432,214,13100552,2
3,19:25:18:238,120000895,29221549,42000,53655,58030,3
1,19:25:18:407,120001231,47340077,3786910,200,13142773,2
3,19:25:18:438,120000846,29191029,41928,54341,56228,3
1,19:25:18:607,120001244,47264964,3778533,223,13119688,2
3,19:25:18:638,120000952,29267123,42060,53197,58578,3
1,19:25:18:807,120001102,47353643,3788434,203,13140576,2
3,19:25:18:838,120000846,29178298,41912,54441,57468,3
1,19:25:19:007,120001014,47262320,3778473,216,13135767,2
3,19:25:19:038,120000824,29258112,42024,54453,57513,3
1,19:25:19:207,120000997,47337896,3784050,205,13121419,2
3,19:25:19:238,120000815,29177635,41887,53900,56730,3
1,19:25:19:407,120000564,47363184,3784223,195,13124494,2
3,19:25:19:438,120000794,29177556,41895,53369,55973,3
1,19:25:19:607,120000640,47274707,3778692,207,13121132,2
3,19:25:19:638,120000733,29195316,41959,51819,57139,3
1,19:25:19:807,120000749,47310794,3780913,202,13118725,2
3,19:25:19:838,120001004,29271084,42022,53457,59240,3
1,19:25:20:007,120000594,47355300,3783814,217,13142975,2
3,19:25:20:038,120000848,29184030,41907,52906,56303,3
1,19:25:20:207,120000692,47341036,3782675,213,13126140,2
3,19:25:20:238,120001619,29194546,41927,52927,57152,3
1,19:25:20:407,120000865,47476708,3791761,203,13142677,2
3,19:25:20:438,120001266,29169713,41887,53803,55765,3
1,19:25:20:607,120001265,47275658,3779767,197,13119832,2
3,19:25:20:638,120001019,29186299,41914,51443,55649,3
1,19:25:20:807,120001320,47275696,3779883,204,13099412,2
3,19:25:20:838,120001074,29246887,41995,51201,58763,3
1,19:25:21:007,120001341,47294963,3782071,200,13114152,2
3,19:25:21:038,120001206,29257750,42021,49407,57657,3
1,19:25:21:207,120001211,47222918,3773998,203,13080069,2
3,19:25:21:238,120001034,29197705,41921,52728,57039,3
1,19:25:21:407,120001325,47272519,3779587,207,13111258,2
3,19:25:21:438,120001228,29178323,41902,51974,55883,3
1,19:25:21:607,120001261,47301751,3782749,207,13121673,2
3,19:25:21:638,120001034,29188999,41910,52129,56887,3
1,19:25:21:807,120001129,47242284,3775969,192,13121032,2
3,19:25:21:838,120001410,29209806,41934,53333,58022,3
1,19:25:22:007,120001011,47334707,3786474,207,13143028,2
3,19:25:22:038,120000856,29227580,41970,55029,57383,3
1,19:25:22:207,120001339,47284255,3780800,198,13119877,2
3,19:25:22:238,120000783,29216308,41956,53143,57050,3
1,19:25:22:407,120001283,47296540,3782273,219,13108210,2
3,19:25:22:438,120000855,29225932,41976,51068,56767,3
1,19:25:22:607,120001072,47319281,3784617,202,13146214,2
3,19:25:22:638,120000797,29227637,41975,54619,56402,3
1,19:25:22:807,120001008,47221190,3773715,190,13103797,2
3,19:25:22:838,120000787,29245467,41976,54370,58895,3
1,19:25:23:007,120000586,47372417,3786834,199,13126102,2
3,19:25:23:038,120000839,29246677,42099,53825,58356,3
1,19:25:23:207,120000605,47565086,3796938,200,13176069,2
3,19:25:23:238,120000949,29186657,41920,55815,56057,3
1,19:25:23:407,120000750,47333931,3782369,195,13127487,2
3,19:25:23:438,120001179,29264138,42021,54285,58011,3
1,19:25:23:607,120001105,47474318,3793313,201,13158895,2
3,19:25:23:638,120001061,29206285,41937,51150,57174,3
1,19:25:23:807,120000910,47347214,3787681,199,13121373,2
3,19:25:23:838,120000854,29251597,41999,52815,59828,3
1,19:25:24:007,120001223,47360404,3789194,206,13140716,2
3,19:25:24:038,120000785,29191053,41930,51366,55851,3
1,19:25:24:207,120001218,47317067,3784506,194,13118472,2
3,19:25:24:238,120000818,29168898,41889,50061,55571,3
1,19:25:24:407,120000700,47335707,3785480,207,13114260,2
3,19:25:24:438,120000776,29191812,41914,52497,56762,3
1,19:25:24:607,120000694,47327568,3781863,201,13132759,2
3,19:25:24:638,120000862,29238474,41993,51216,57310,3
1,19:25:25:607,120000427,265133424,0,253,6,2
3,19:25:25:638,419519,251229,7,995,21569,3
1,19:25:25:607,120000427,265133424,0,253,6,2
3,19:25:25:638,419519,251229,7,995,21569,3
1,19:25:25:607,120000427,265133424,0,253,6,2
3,19:25:25:638,419519,251229,7,995,21569,3
1,19:25:25:607,120000427,265133424,0,253,6,2
3,19:25:25:638,419519,251229,7,995,21569,3
1,19:25:25:807,120001385,243406353,373585,244,1301965,2
3,19:25:25:838,30816640,8318858,76297,41782,283458,3
1,19:25:26:007,120000813,47222027,3773879,185,13113929,2
3,19:25:26:038,120000617,29201767,42030,53182,55457,3
