budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
AMBP,21036854,15107590,5929264,582216591,150453434,352738,3086416,2763316,1251612,2033412,2133392,871676,871676,871676,871676,753341,779526,737564,697126,495784,567921,595180,434274,434274,434274,70627,673784,1091690,1123674,1305621,1471175,144120005,144120005,144120005,144120005,150748,276503,368715,434397,446674,470923,495774,49269900,49269900,49269900,
PIC,40809900,31521900,9288000,4253988810,4282892880,3152190,3152190,3152190,3152190,3152190,3152190,3152190,3152190,3152190,3152190,928800,928800,928800,928800,928800,928800,928800,928800,928800,928800,425398881,425398881,425398881,425398881,425398881,425398881,425398881,425398881,425398881,425398881,428289288,428289288,428289288,428289288,428289288,428289288,428289288,428289288,428289288,428289288,
EWMA,24627465,18548548,6078917,12665630,4118917,2917090,2861663,1307594,2059794,2149718,892718,1809083,2003135,791362,1756391,683974,873797,779961,545501,598710,611993,445388,538971,577264,423358,583418,1039067,1092772,1286176,1458884,1345650,1438336,1551295,1399308,1470724,136794,284194,383347,415777,452363,484289,476508,489000,506652,489993,
SW,24146101,18177924,5968177,12746127,4322592,3157635,997087,132461,1726455,2489685,1389802,2202917,2490180,1389502,2202200,930234,205222,340172,437965,687603,738302,601552,687477,737952,601698,2444818,2208241,1429061,952001,952001,952001,952001,952001,952001,952001,810119,726095,491876,327786,327786,327786,327786,327786,327786,327786,
AFC,24473874,18592401,5881473,12416784,3957423,2124766,2404811,2606344,2023043,965571,2157788,1751710,803779,2060763,1693826,589680,715637,771090,558269,713989,556050,428808,637465,509718,400767,424953,820924,1178008,1347015,1270727,1448139,1508853,1367839,1506423,1543903,117936,237476,344198,387012,452407,473135,464270,498909,501070,481010,
AMBP,21031832,15100724,5931108,582529687,150516443,352303,3085627,2769987,1247466,2032435,2138802,868526,868526,868526,868526,754932,778902,739071,697011,495300,568969,595037,433962,433962,433962,70540,673557,1092843,1123767,1305500,1472160,144197830,144197830,144197830,144197830,151066,276633,369120,434698,446818,471248,496005,49290285,49290285,49290285,
PIC,40871900,31571010,9300890,4253924970,4282876120,3157101,3157101,3157101,3157101,3157101,3157101,3157101,3157101,3157101,3157101,930089,930089,930089,930089,930089,930089,930089,930089,930089,930089,425392497,425392497,425392497,425392497,425392497,425392497,425392497,425392497,425392497,425392497,428287612,428287612,428287612,428287612,428287612,428287612,428287612,428287612,428287612,428287612,
EWMA,24618557,18541747,6076810,12662697,4118079,2918402,2858928,1308697,2056297,2157239,884254,1810520,2008493,782331,1756586,684622,873322,780361,544518,600668,608753,445949,540464,574782,423371,583680,1038729,1092722,1285437,1459797,1344688,1437854,1551981,1398051,1469758,136924,284203,383434,415650,452653,483873,476288,489123,506254,489677,
SW,24126913,18162997,5963916,12756008,4324255,3152378,1002797,133324,1725716,2492738,1379951,2201743,2490096,1381954,2202300,928890,207079,339508,437982,688472,735408,601564,687453,735807,601753,2442375,2206511,1429500,953946,953946,953946,953946,953946,953946,953946,809468,725631,491826,328190,328190,328190,328190,328190,328190,328190,
AFC,24271183,18301850,5969333,12689663,3954993,2463127,2249803,2650065,1849768,1827255,2022398,747989,1771158,1987095,733192,679985,677299,783704,549942,539591,597739,591388,447789,542089,559807,492625,844060,1205261,1334162,1432780,1550703,1390161,1466360,1570507,1403044,135997,244257,352146,391705,421282,456573,483536,476387,489527,503583,
AMBP,20673058,14950639,5722419,706792200,191996494,1585585,3114019,1515284,2157788,2219303,871732,871732,871732,871732,871732,376887,941654,781177,576530,619203,606588,455095,455095,455095,455095,317197,876561,1004305,1235001,1431861,140385455,140385455,140385455,140385455,140385455,75457,248696,355192,399459,443407,476043,47499560,47499560,47499560,47499560,
PIC,40859120,31559960,9299160,4253939330,4282878370,3155996,3155996,3155996,3155996,3155996,3155996,3155996,3155996,3155996,3155996,929916,929916,929916,929916,929916,929916,929916,929916,929916,929916,425393933,425393933,425393933,425393933,425393933,425393933,425393933,425393933,425393933,425393933,428287837,428287837,428287837,428287837,428287837,428287837,428287837,428287837,428287837,428287837,
EWMA,24637848,18553310,6084538,12669850,4122877,2919153,2861898,1304199,2065644,2159248,876203,1814250,2014260,777823,1760632,684483,873838,779761,547095,601222,610696,446152,541998,575541,423752,583830,1039443,1092394,1287044,1461484,1344427,1438391,1553564,1398415,1470858,136896,284284,383379,416122,453142,484652,476952,489961,507077,490412,
SW,24157809,18184542,5973267,12748108,4327746,3161124,1007426,118031,1729914,2499536,1379686,2205851,2498945,1380545,2203484,931423,208249,338357,438036,689851,736893,602150,689500,737377,601431,2444410,2212308,1428860,951790,951790,951790,951790,951790,951790,951790,810167,727405,492676,328214,328214,328214,328214,328214,328214,328214,
AFC,24352001,18352345,5999656,12711404,3969293,2476155,2240560,2650100,1856112,1824379,2020011,779346,1761899,1975255,768528,682986,676600,783145,555586,538140,596738,609167,443056,537853,576385,495231,844296,1205456,1335587,1433345,1550678,1396412,1469509,1570658,1410232,136597,244597,352306,392962,421997,456945,487389,478523,490389,507588,
AMBP,20820663,15091181,5729482,708231104,193467332,1578219,3118305,1545508,2151096,2214623,896686,896686,896686,896686,896686,372999,943257,802825,572035,616463,621731,450043,450043,450043,450043,315723,876239,1010092,1238292,1433558,140671440,140671440,140671440,140671440,140671440,74679,248394,359280,401831,444757,480151,47864560,47864560,47864560,47864560,
PIC,40884020,31580260,9303760,4253912940,4282872390,3158026,3158026,3158026,3158026,3158026,3158026,3158026,3158026,3158026,3158026,930376,930376,930376,930376,930376,930376,930376,930376,930376,930376,425391294,425391294,425391294,425391294,425391294,425391294,425391294,425391294,425391294,425391294,428287239,428287239,428287239,428287239,428287239,428287239,428287239,428287239,428287239,428287239,
EWMA,24624738,18547436,6077302,12665015,4118031,2915236,2860903,1310021,2059996,2151093,890937,1807861,2004422,791048,1755919,683512,873825,779929,545613,598973,611659,444856,538962,576752,423221,583047,1038618,1092898,1286317,1459272,1345605,1438056,1551329,1399272,1470601,136702,284126,383286,415751,452395,484247,476368,488886,506459,489811,
SW,24149620,18179776,5969844,12747865,4323294,3157973,997941,132601,1726038,2489788,1390138,2202680,2489350,1390454,2202813,930507,205828,340158,437496,687958,738397,601748,687868,737990,601894,2444779,2208230,1429505,952193,952193,952193,952193,952193,952193,952193,810168,726173,492164,327827,327827,327827,327827,327827,327827,327827,
AFC,24475536,18593367,5882169,12417353,3957623,2122809,2406846,2607876,2020707,965931,2159456,1750781,803748,2061917,1693296,589239,716122,770979,557547,714422,556629,428516,637750,510121,400844,424561,821018,1178389,1346852,1270668,1448425,1508896,1367867,1506677,1544000,117847,237502,344197,386867,452378,473228,464286,498978,501206,481134,
